premise,hypothesis,label,negation_type
"O longa Steve Jobs tem estreia prevista para o ano de 2016, no dia 21 de janeiro.",Steve Jobs não estreia no dia 23 de janeiro nos EUA.,1,syn
Foi o pior resultado para meses de julho desde 1992.,O resultado não é o pior para julho em todos os anos.,1,syn
"Haverá sobras das frequências de 1,8 GHz, 2,5 GHz e 3,5 GHz.","Não será vendida toda a faixa de 1,8 GHz.",1,syn
"Com isso o destaque do Brasil foi o atacante Adriano que, com sete gols, obteve a artilharia.",O atacante Ronaldo não foi o artilheiro da competição.,1,syn
"Com um jogador a mais no segundo tempo, o Chelsea construiu a vitória.","Com um jogador a mais no segundo tempo, o Chelsea não teve dificuldades para vencer.",1,syn
O Steven diz que essa nova temporada é uma espécie de The Knick 2.0.,"Não estão a chegar os novos episódios de “The Knick”, mas sim uma nova série que lembra “The Knick” segundo Steven.",1,syn
"O treinador tem a chance de voltar ao São Paulo, clube que o revelou para o futebol mundial.",O treinador não é o técnico atual do clube que o revelou.,1,syn
"É a quarta Apple TV, mas é a primeira “bem feita”.",A nova Apple TV não estava bem feita anteriormente.,1,syn
"Uma pessoa ficou ferida em terra, de acordo com o Corpo de Bombeiros.","Uma pessoa ferida não estava dentro da casa no momento do acidente, segundo os bombeiros.",1,syn
É importante destacar que realidade aumentada não é a mesma coisa que realidade virtual.,Realidade aumentada não é nada semelhante à realidade virtual.,1,syn
"O meu golo surgiu numa grande jogada do Brahimi, mas penso que também fiz um bom remate.","A jogada do Brahimi não terminou no seu próprio remate, mas sim em um golo.",1,syn
O longa é dirigido por Ridley Scott e protagonizado por Matt Damon.,"Dirigido por Ridley Scott, o filme 'O Resgate do Soldado Ryan' não é protagonizado por Matt Damon.",1,syn
"Após esse período, as chamadas com 8 dígitos não serão mais completadas.",As chamadas com oito dígitos nunca serão mais completadas após esse período.,1,syn
"A socialite Kim Kardashian, esposa de Kanye West, não abre mão dos vestidos colados e decotados.",A socialite Kim Kardashian não abre mão de usar vestidos colados e decotados em eventos de Natal.,1,syn
Jennifer contou para Justin em um jantar e fez surpresa.,Jennifer e Justin não fizeram nada oficialmente público sobre o estado civil recente.,1,syn
"Este não parece ser um cenário admitido pelo CEO da Apple, Tim Cook, em entrevista ao Wall Street Journal.",Nada foi mencionado por Tim Cook numa conferência organizada pelo Wall Street Journal.,1,syn
"Ele seria apresentado na madrugada desta quinta-feira, mas só assumirá o time no próximo ano.","Ele não assumiria a equipe imediatamente, sendo indicado apenas para o próximo ano.",1,syn
Françoise Olcay é cônsul honorária na Turquia desde Outubro de 2014.,Nenhuma suspensão de Françoise Olcay como cônsul honorária da França na Turquia ocorreu desde Outubro de 2014 devido a qualquer escândalo relacionado.,1,syn
"Para tentar trazer a inflação para a meta, o BC elevou a Selic por sete vezes seguidas.",O BC não afirma que elevar a Selic sete vezes já é uma demonstração de seu impacto imediato na inflação.,1,syn
O furacão está a gerar ventos a velocidades de 320 quilómetros por hora.,Os meteorologistas não afirmam que o furacão não está a causar ventos superiores a 300 quilómetros por hora.,1,syn
"José Aldo Rebelo Figueiredo nasceu em Viçosa (Alagoas), em 23 de fevereiro de 1956.",José Aldo Rebelo Figueiredo nunca nasceu fora do Brasil.,1,syn
"A Capcom ainda não revelou o lutador oficialmente, mas há um trailer disponível.",A Capcom ainda não apresentou o elenco completo de lutadores para o lançamento.,1,syn
"Sobre as duas outras marcas, a Audi e a Skoda, o comunicado é omisso.",Não são mencionados veículos da Audi e Skoda.,1,syn
A população poderá consultar a pressão arterial e fazer teste de glicemia das 10h às 22h.,A população não poderá consultar a pressão arterial e fazer teste de glicemia antes das 10h ou após as 22h.,1,syn
O Halu foi descrito por Alberto Méndez como sendo “um computador com um foco”.,Nada no contexto fornecido sugere que o Roni foi descrito por Alberto Méndez.,1,syn
"Entre os mais afetados são Novo Hamburgo, Taquara e Sarandi.",Novo Hamburgo não foi a cidade menos atingida.,1,syn
"Quatro edições antes, estava em US$ 3 bilhões.","Quatro edições atrás, a projeção não era de déficit de US$ 84 bilhões.",1,syn
"O eclipse lunar total, como é esse caso, é composto de duas fases: a penumbral e a umbral.",O eclipse lunar total não é composto apenas de uma fase penumbral.,1,syn
O governo do Amazonas informou que vai reforçar as ações de prevenção e combate às queimadas.,"Além disso, não serão negligenciadas ações de prevenção às queimadas e incêndios pelo governo do Amazonas.",1,syn
Meu mandato parece não ter o apoio de todo mundo.,Blatter não recebeu apoio de todos os membros da FIFA.,1,syn
"Eu coordenava, na realidade, a equipe de geologia.",Eu não trabalhava com ciência atmosférica.,1,syn
A Unimed Paulistana é a única cooperativa do sistema que oferece planos de saúde na cidade de São Paulo.,Não há indicação de suspensão nas vendas de planos de saúde da Unimed Paulistana baseada na informação dada.,1,syn
"Já nas faixas expressas, passa de 90km/h para 70 km/h.","Em vias expressas, o limite não seria inferior a 70 km/h.",1,syn
"A prevalecer o que disse Cunha, o operador confirmará à força-tarefa da Lava Jato que entregou o dinheiro.","Alguém está sendo investigado pela Operação Lava Jato, da Polícia Federal.",1,syn
"Além da dificuldade científica e da segurança, há ainda a questão política, que é determinante para o financiamento da viagem a Marte.",Não existem apenas dificuldades científicas para que se faça uma viagem a Marte.,1,syn
"Há 30 anos, a trilogia Back To the Future antecipou como íamos viver no futuro.",A trilogia cinematográfica Back To the Future contribuiu para imaginarmos o futuro.,1,syn
"A estimativa de inflação deste ano (IPCA) recuou para 9,28%.",A estimativa para a alta do IPCA neste calendário não permaneceu a mesma.,1,syn
O dia 24 de outubro marcou o Dia das Nações Unidas.,Não se pode afirmar que o 24 de outubro marca sempre um evento sem importância ou valor.,1,syn
Foi realizada perícia no local e imagens de câmeras de segurança estão sendo solicitadas.,Imagens de câmeras de segurança instaladas na região ainda não foram obtidas.,1,syn
"Quem usa versão normal do Tinder, poderá dar apenas um Super Like por dia.",O Tinder não afirmou que usuários da versão normal podem dar múltiplos Super Likes por dia.,1,syn
"O atacante Neymar está fora da Copa América, que está sendo disputada no Chile.",Neymar não participará de nenhum jogo da Copa América.,1,syn
Ouvi Carlos César dizer que votar no Bloco de Esquerda é votar na direita.,Ninguém que vota no Bloco de Esquerda está realmente votando na esquerda.,1,syn
Podemos tornar-nos o primeiro país do mundo a legalizar o casamento 'gay' por referendo.,Ninguém pode afirmar que o casamento gay já está legalizado por referendo.,1,syn
O clube carioca não terá o zagueiro Gum contra o Palmeiras.,O clube carioca não contará com o zagueiro Gum entre os titulares quando enfrentar o Palmeiras.,1,syn
"No comparativo anual, o PIB italiano aumentou 0,9% entre Julho e Setembro de 2015.","Nenhuma outra economia europeia teve o mesmo crescimento de 0,9% que o PIB italiano entre Julho e Setembro de 2015.",1,syn
"Mas até foi do outro lado, o de Brahimi, que surgiu o primeiro golo, aos 39'.","O golo não surgiu de uma jogada coletiva impressionante, e não foi marcado com um remate perfeito.",1,syn
"A apresentação seguinte é a do romântico Seal, que será seguida das baladas de Rod Stewart.",A programação do Palco Mundo não terá Elton John.,1,syn
"De junho para julho, o IPC desacelerou de 5,47% para 0,52%.","Indicador não ficou em 5,69%, ante 5,67% em junho.",1,syn
"Pato falou, o Luis falou também, mas não teve uma coisa para extrapolar.","Pato não contribuiu de maneira eficaz, e Luis também não conseguiu dar continuidade às jogadas.",1,syn
O árbitro Sandro Meira Ricci entendeu que o jogador se jogou e mandou seguir a partida.,O árbitro Sandro Meira Ricci não marcou pênalti.,1,syn
"Seja em trailers ou imagens promocionais, nos últimos meses temos visto uma quantidade boa dos personagens do novo episódio de Star Wars.",O filme não será lançado sem nenhuma divulgação de personagens novos.,1,syn
"Porque desviar asteroides no braço é algo frequente no cinema, mas nunca nem remotamente testado na vida real.",Ninguém tentou desviar um asteroide de verdade como teste.,1,syn
A torcida do Palmeiras passou meses pedindo para que Gabriel Jesus tivesse mais chances no time.,Gabriel Jesus não vinha sendo colocado como titular com frequência.,1,syn
"O objetivo era apenas promover o novo filme da saga “Star Wars”, que estreia em dezembro.",Star Wars: O Despertar da Força não estreia em novembro.,1,syn
A força da detonação fez desabar o edifício onde se localizava o restaurante.,O estabelecimento colapsou e não deixou ninguém ferido no armazém adjacente que continha material explosivo.,1,syn
Uma ala do complexo foi reservada aos alvos da Lava Jato.,Nem todos os alvos da Lava Jato estão na ala reservada do complexo.,1,syn
Foi a única vez que a Dinamarca ganhou em Portugal.,A Dinamarca não vai querer perder a única vitória que teve em Portugal e vamos tentar contrariar isso.,1,syn
Scolari treinou a selecção de futebol entre 2003 e 2008.,Scolari não treinava a seleção de futebol em 2010.,1,syn
"René comandou o Figueira em oito partidas e obteve três vitórias, quatro derrotas e um empate.",René Simões não esteve à frente do Figueira em nenhuma outra partida além das oito mencionadas.,1,syn
"Gleison Vieira da Silva, 17 anos, foi espancado até a morte.",Gleison não foi espancado até a morte por ninguém.,1,syn
O ativista angolano Luaty Beirão diz que o julgamento é 'um teatro'.,Luaty Beirão não acredita que o julgamento em que está envolvido em Luanda é justo.,1,syn
"Está a circular na Internet uma cópia do contrato que, alegadamente, Jorge Jesus assinou com o Sporting a 5 de junho.",Nenhuma fonte revelou o alegado contrato de trabalho de Jorge Jesus com o Sporting esta quarta-feira.,1,syn
E encerrou falando sobre o confronto com o Real Madrid e a tensão do jogo.,Real Madrid e Atlético não jogaram recentemente uma final europeia.,1,syn
Ele conta com uma memória RAM de 2 GB e 16 GB de armazenamento interno.,A versão com 2 GB de RAM e 16 GB de armazenamento não custa mais de R$ 945.,1,syn
"Um dos adolescentes joga o capacete em direção ao policial, que reage com disparos.",As imagens não mostraram o policial não reagindo aos adolescentes.,1,syn
"Youssef foi preso quando a Operação Lava Jato foi deflagrada, em março do ano passado.",Youssef não foi preso em nenhuma fase da Operação Lava Jato que ocorreu após março do ano passado.,1,syn
"Porém, para que essa medida passe a valer, a presidente Dilma Rousseff precisa vetar o texto aprovado na Câmara.",O texto não aguarda mais decisão da presidente Dilma Rousseff sobre sanção ou veto.,1,syn
"Ou seja, essa é mais uma dica para os consumidores começarem a se preocupar e realmente desinstalarem o Adobe Flash.",A Adobe não está mais oferecendo suporte ao Flash.,1,syn
E com ele o Flamengo sacramentou a virada por 2 a 1 sobre o São Paulo.,O jogo não foi suficiente para o São Paulo do técnico Osorio vencer novamente.,1,syn
Os novos iPhones 6s e 6s Plus vão chegar a Portugal no dia 9 de outubro.,Os novos iPhones 6s e 6s Plus não chegaram antes de outubro a Portugal.,1,syn
O ensino superior privado teve este ano um aumento na procura de 30%.,A procura pelo ensino superior privado não corresponde somente aos cursos tradicionalmente oferecidos por este setor.,1,syn
"Após acordo, presidência da comissão ficará com PMDB e relatoria, com PR.",Afirmou que o PMDB não assumiria a relatoria desta comissão.,1,syn
"Em todas as versões, o volante multifuncional do sedã traz novo acabamento em cinza Very Dark Sleek Silver.","Em todas as versões, nunca falta o volante multifuncional com acabamento em cinza Very Dark Sleek Silver, mesmo nas sem MyLink.",1,syn
A quadra só começou a encher por volta de 0h.,A apresentação das parcerias finalistas não começou antes de 0h.,1,syn
"Jayde Pierce, uma modelo britânica apontada como o novo affair de Bieber, também estava presente.",A presença da modelo e youtuber Jayde Pierce não passou despercebida pelos fãs presentes.,1,syn
"Seja qual for o resultado do jogo desta quarta, o Grêmio seguirá na terceira colocação do Campeonato Brasileiro.","O Grêmio não perdeu a terceira colocação no Campeonato Brasileiro, nesta quarta-feira.",1,syn
A autorização foi publicada no Diário Oficial da união desta quarta-feira.,A decisão não consta na autorização publicada no Diário Oficial da União.,1,syn
"Os espanhóis protagonizaram a outra vitória expressiva do mesmo grupo, ao vencerem em casa o Astana por 7-1.",Os sub-19 do Benfica nunca haviam vencido o Astana por 7-1 em casa.,1,syn
"Entre eles encontra-se o humorista Nuno Markl, solidário com estes pais na casa dos 30 anos.","Nuno Markl, que nunca deixou de apoiar outros pais, também esteve solidário com eles.",1,syn
A razão para que tal aconteça é o método de Hondt.,Nada do que foi decidido se afastou dos critérios do método de Hondt.,1,syn
"Fernando Santos promoveu a estreia de quatro jogadores nas seleção A de Portugal, na derrota por 1-0 frente a Rússia.","Quando o relógio marcava 72 minutos, nenhum dos jogadores que Fernando Santos promoveu a estreia estava mais em campo.",1,syn
"O Brasil exportou para o país US$ 27 bilhões, em 2014.",Não foi em 2014 que o Brasil recebeu o maior número de investimentos diretos dos EUA.,1,syn
O Nexus 5X e o 6P ainda não têm data de lançamento.,E o 6P não foi lançado ainda.,1,syn
A outra bateria das quartas de final terá Mick Fanning contra Bede Durbridge.,Ítalo Ferreira não competirá na mesma bateria que o australiano Bede Durbidge e Mick Fanning.,1,syn
O Instagram alcançou a marca de 300 milhões de usuários em dezembro passado.,O Instagram não conta com 400 milhões de usuários hoje.,1,syn
O Fluminense eliminou o Grêmio empatando fora de casa.,O Grêmio não conseguiu se classificar.,1,syn
"Em 2015, o setor acumula uma queda de 16% nas vendas.",As vendas do comércio varejista brasileiro não acumulam crescimento.,1,syn
"O Dia da Rússia, feriado nacional na Rússia, será comemorado no dia 12 de junho.",Putin não irá inaugurar hoje o Dia da Rússia na Expo 2015 porque o evento não ocorrerá no dia 12 de junho.,1,syn
Novos smartphones da Apple trazem dois recursos exclusivos e bastante interessantes: Live Photos e 3D Touch.,Os Novos smartphones da Apple nunca tiveram o 3D Touch como responsável pela adição das Live Photos aos aparelhos.,1,syn
"Daniel Scioli vai em primeiro lugar nas sondagens, seguido pelo presidente da Câmara de Buenos Aires.",Ninguém pode afirmar com certeza que as sondagens sempre acertam nas previsões eleitorais em Buenos Aires.,1,syn
"O medo está neste momento instalado no Aeroporto de Gatwick, no sul de Londres.",Não há evidências de que haja pânico em Heathrow neste momento.,1,syn
"Do ponto de vista da autoestima, faz muito tempo do último título do Grêmio.",Não faz muito tempo do último título que presenciei no Grêmio.,1,syn
"A semana foi pautada pelo Fed, com a cautela sobre a alta dos juros nos Estados Unidos.",Não há garantias de que o Fed não elevará os juros em breve.,1,syn
"Em março, nova resolução adiou a legislação para 1º de junho.","Em março, uma resolução não definiu a legislação para uma data anterior a 1º de junho.",1,syn
O atacante Luis Fabiano e o meia Michel Bastos cumpriram suspensão no fim de semana e estão à disposição do treinador.,Luis Fabiano e Michel Bastos não estarão mais suspensos na próxima partida.,1,syn
"As imagens foram recolhidas nas linhas do Norte, do Oeste, do Douro, de Sintra e de Cascais.",Não é possível afirmar que apenas uma das linhas recolhidas proporciona imagens impressionantes.,1,syn
Saiba quais são os famosos que poderão entrar no reality show.,Nenhum famoso que mora no campo será convidado para este reality show.,1,syn
"O Presidente francês vai a Washington na quarta-feira e a Moscovo, na quinta.",O presidente francês não visita nenhum outro país além de Washington e Moscovo nesta semana.,1,syn
"A renovação está entregue ao presidente, e espero que isso se resolva pelo melhor.",Ninguém discutirá os detalhes da renovação de André Carrillo publicamente.,1,syn
"Ao final do debate, Hillary Clinton foi considerada vencedora de acordo com a CNN.","Hillary Clinton, apesar de considerada vencedora, não estava na posição central durante o debate.",1,syn
"Nas redes sociais, uma dificuldade é magnificada.","As redes sociais frequentemente intensificam problemas, mas isso não significa necessariamente que o Inep não toma medidas adequadas para monitorar essas plataformas.",1,syn
"Até agora, o planejado acordo prevê penas de prisão entre cinco e oito anos para os delitos graves.","Até agora, ninguém foi punido sob o planejado acordo com penas de cinco a oito anos para delitos graves.",1,syn
"A última passagem da banda por Portugal foi em julho deste ano, quando atuaram no Super Bock Super Rock.","Os dEUS não estiveram em solo português em nenhum outro mês deste ano além de julho, no Super Bock Super Rock.",1,syn
Foi quando o torcedor alvinegro descobriu que o árbitro Sandro Meira Ricci poderia aprontar.,O árbitro Sandro Meira Ricci já havia prejudicado o torcedor alvinegro antes.,1,syn
"O escurecimento não pode ser devido a outra estrela, também, ou os cientistas a teriam visto.","Nada além do próprio objeto pode provocar tal escurecimento, ou os cientistas já teriam identificado outra causa.",1,syn
A campanha é da responsabilidade da Sociedade Portuguesa do Acidente Vascular Cerebral (SPAVC).,"A campanha não é um esforço individual, mas sim coletivo da Sociedade Portuguesa do Acidente Vascular Cerebral.",1,syn
Lionel Messi mora em Barcelona desde 2000 e obteve cidadania espanhola em 2005.,Lionel Messi nunca viveu permanentemente fora da Espanha desde o ano 2000.,1,syn
O intervalo entre a primeira e a segunda dose deve ser de 180 dias.,Não deve haver uma diferença maior que cinco anos entre a primeira e a terceira dose.,1,syn
A barra da Figueira da Foz vai ser reaberta este domingo apenas para a saída dos quatro navios que estão no interior do porto.,A barra da Figueira da Foz não está aberta para a entrada de novos navios neste domingo.,1,syn
O Tesla Model X foi finalmente apresentado por Elon Musk.,"Na nova fábrica da Tesla, não são montados diariamente 90 novos Model X.",1,syn
A Chevrolet lançou hoje (09) uma nova série especial para seu sedã compacto.,A Chevrolet não lançou hoje a linha 2016 do sedã compacto Prisma.,1,syn
"Grazi não pode revelar o final da personagem, mas garantiu que “muita coisa vai acontecer ainda”.",Nada pode ser revelado sobre a participação da Grazi em um grande papel até o final da história.,1,syn
"A parceria entre Uderzo e Goscinny, os criadores originais, acabou em 1977.","Albert Uderzo, não esteve presente na apresentação desde o término da parceria em 1977.",1,syn
"Na segunda etapa, com os reservas, Matheus Sávio e Douglas Baggio ampliaram.",Nenhum titular ampliou o placar na segunda etapa com os reservas.,1,syn
A paralisação será total e no mesmo dia haverá uma nova assembleia para decidir os rumos da greve.,Não haverá qualquer iniciativa dos metroviários para organizar uma paralisação.,1,syn
Só não marcou aos 21 minutos porque Claudio Bravo fez grande defesa.,Ele não marcou o gol aos 21 minutos do primeiro tempo.,1,syn
Rihanna escolhe look transparente para jantar em churrascaria na Zona Sul.,Rihanna não janta sozinha na churrascaria.,1,syn
Uma mulher terá tentado abrir uma das portas de um avião da British Airways.,O avião da British Airways não enfrentou nenhuma ameaça à segurança apesar do incidente com a porta.,1,syn
"Ele chegou a dizer que o Brasil deveria levar um 'chute no traseiro', por causa dos atrasos.",Ele nunca mais comentou publicamente sobre dar um 'chute no traseiro' no Brasil.,1,syn
"Desde o começo do ano, o índice acumula alta de 6,83%.","Nos últimos 12 meses, o índice não acumula alta de 20%.",1,syn
"Aos 48 anos, Pamela Anderson arrasa em sessão fotográfica nua.",Pamela Anderson não aparece nada discreta na sua mais recente sessão fotográfica.,1,syn
O sorteio dos grupos para a fase final será a 12 de Dezembro.,Portugal não participará do sorteio para a fase final.,1,syn
"Ao início da noite, o PAN surgiu numa lista de candidaturas de pequenos partidos com hipóteses de eleger um deputado.","O PAN, que ainda não garantiu a eleição de um deputado, tem um programa eleitoral com 160 pontos.",1,syn
O limite de 140 caracteres do Twitter poderá brevemente ser coisa do passado.,O limite de caracteres do Twitter pode não ser mais restrito em atualizações futuras.,1,syn
"Ricky Álvarez voltou hoje, dia 17 de Setembro, a ser associado à equipa do Futebol Clube do Porto.",Ricky Álvarez não voltou ao Futebol Clube do Porto para ocupar uma posição de treinador.,1,syn
"Desenvolvida pela Sioux, a versão digital de 'War' mantém o estilo de jogo do original.",Nenhuma plataforma não oferece interação em realidade aumentada para a versão digital de 'War'.,1,syn
"Maccabi Telavive soma segundo desaire seguido, depois de perder com o FC Porto, para a Champions.","O Maccabi Telavive não permanece invicto, após desaires consecutivos na Champions.",1,syn
Moda é uma grande parte de Lady Gaga e as pessoas querem vê-la de um jeito.,Poucas pessoas não associam Lady Gaga a um estilo único de arte e moda.,1,syn
"O cantor e compositor escocês Jim Diamond morreu hoje aos 64 anos, na sua casa em Londres.","Jim Diamond nunca mais lançará novas músicas, pois faleceu.",1,syn
A suspensão provisória do processo está prevista no Código de Processo Penal e vulgarizou-se no caso Furacão.,A suspensão provisória do processo não é exclusiva da Operação Furacão.,1,syn
"Agora, é a coligação que está à espera que o PS diga o que pretende.",O PS não pôs-se numa posição ativa.,1,syn
O diretor Cláudio Assis voltou a ser vaiado no evento.,"Cláudio Assis, desta vez, porém, não saiu ileso das vaias.",1,syn
O Corinthians também deixou de lado um reconhecimento a Cássio.,O reconhecimento a Cássio nunca foi mencionado pelo Corinthians.,1,syn
"Todas as esculturas de cera mostram o James Bond clássico, vestindo smoking.",Nenhuma das esculturas de cera mostra o mais recente James Bond.,1,syn
Espero que corra tudo bem e que conquistem um título.,Não espero que algo esteja a correr mal.,1,syn
"Danilo e Ralf eram os próximos da fila, mas não acertaram suas transferências e permaneceram.",Danilo não tem expectativa de acerto no momento.,1,syn
"Esta nova versão inclui dicionários temáticos totalmente revistos, incorporando uma nova edição do Dicionário Priberam.",Esta nova versão não chegou ao mesmo tempo que a primeira edição do Dicionário Priberam lançado em 1997.,1,syn
"O galego Alberto Pardo Touceda, natural de Pontevedra, vive em França há três anos.","Natural de Pontevedra, Alberto não viveu sua vida toda na França.",1,syn
Phil Spencer foi bastante simpático em sua apresentação.,Ele não criticou ninguém em sua apresentação.,1,syn
"Se mantiver o ritmo, com 11 mil contratos, o BC poderá rolar 100% dos contratos.",O BC não deixará de rolar 100% dos contratos se mantiver o ritmo.,1,syn
Só porque eu sou contra a brutalidade policial não significa que eu seja contra os policiais.,Ser contra a brutalidade policial não implica ser contra todos os policiais.,1,syn
Parece que o Google realmente não está pronto para desistir do Glass.,Não parece que o Google tenha desistido do Glass.,1,syn
"O PSG venceu o Marselha (2-1), este domingo, na partida que encerrou a nona jornada da Ligue 1.",O PSG não perdeu este domingo em casa para o Olympique de Marselha.,1,syn
Acho que chegaremos a um resultado que muito provavelmente vai ultrapassar US$ 12 bilhões.,Não acredito que não chegaremos a um resultado inferior a US$ 12 bilhões.,1,syn
Ele declarou não temer a representação articulada pelo PSOL no Conselho de Ética da Casa.,Ninguém pode afirmar que o processo será automaticamente rejeitado pelo Conselho de Ética.,1,syn
"Ela foi casada com o cantor Latino por um período muito curto, 1 ano e 4 meses.",A moça não está mais casada com o cantor Latino.,1,syn
